"pupal_treatment","emergence_date","sex","adultID","weight","mateID","clutchID","age","green_eggs","orange_eggs","clutch_size","eggs_photographed","clutch_code","X.x","larval_treatment","egg_mean_1B","egg_mean_2A","notes.y","egg_mean_1A","clutch_ID","maternalID"
"mean","12/1/2025","F","HOT.WTH.153_P7_M",0.0335,"HOT.WTH.64_P6_M","H.M.168","DONE",30,199,229,"DONE","1563","","hot",NA,NA,"",0.222681267,"H.M.168","153"
"mean","12/1/2025","F","WARM.WTH.170_P1_M",0.0183,"WARM.WTH.37_P1_M","W.M.169","DONE",0,143,143,"DONE","4798","","warm",NA,NA,"",0.219702033,"W.M.169","170"
"mean","12/1/2025","F","HOT.WTH.33_P3_M",0.0311,"HOT.WTH.161_P3_M","H.M.170","DONE",41,0,41,"DONE","5255","","hot",NA,NA,"",0.196236908,"H.M.170","33"
"mean","12/1/2025","F","HOT.WTH.118_P3_M",0.0355,"HOT.WTH.161_P7_M","H.M.171","DONE",108,0,108,"DONE","4580","","hot",NA,NA,"",0.212347022,"H.M.171","118"
"mean","12/1/2025","F","HOT.WTH.123_P2_M",0.0243,"HOT.WTH.38_P1_M","H.M.172","DONE",7,106,113,"DONE","4128","","hot",NA,NA,"",0.191861586,"H.M.172","123"
"mean","12/1/2025","F","WARM.WTH.25_P2_M",0.0225,"WARM.WTH.64_P2_M","W.M.173","DONE",0,35,35,"DONE","7600","","warm",NA,NA,"",0.210147402,"W.M.173","25"
"mean","12/1/2025","F","CTRL.WTH.148_P7_M",0.0196,"CTRL.WTH.103_P3_M","A.M.174","DONE",59,8,67,"DONE","5712","","ambient",NA,NA,"",0.193466566,"A.M.174","148"
"mean","12/1/2025","F","WARM.WTH.89_P8_M",0.0189,"WARM.WTH.29_P2_M","W.M.175","DONE",0,25,25,"DONE","9548","","warm",NA,NA,"",0.195235512,"W.M.175","89"
"mean","12/1/2025","F","HOT.WTH.167_P2_M",0.0335,"HOT.WTH.170_P4","H.M.176","DONE",0,74,74,"DONE","1278","","hot",NA,NA,"",0.193724226,"H.M.176","167"
"mean","12/1/2025","F","MEAN.WTH.170_P1_M",0.01,"MEAN.WTH.13_P1_M","M.M.177","DONE",0,23,23,"DONE","5365","","mean",NA,NA,"",0.211460994,"M.M.177","170"
"ambient","12/1/2025","F","WARM.WTH.98_P5_A",0.0152,"WARM.WTH.153_P1_A","W.A.168","DONE",0,61,61,"DONE","7789","","warm",NA,NA,"",0.236137116,"W.A.168","98"
"ambient","12/1/2025","F","WARM.WTH.150_P3_A",0.0132,"WARM.WTH.170_P9_A","W.A.169","DONE",6,43,49,"DONE","7490","","warm",NA,NA,"",0.204736419,"W.A.169","150"
"ambient","12/1/2025","F","CTRL.WTH.167_P3_A",0.0245,"CTRL.WTH.117_P2_A","A.A.172","78",20,54,74,"DONE","4200","","ambient",NA,NA,"",0.223321968,"A.A.172","167"
"ambient","12/1/2025","F","HOT.WTH.47_P2_A",0.0315,"HOT.WTH.106_P5_A","H.A.173","DONE",2,55,57,"DONE","3265","","hot",NA,NA,"",0.204327653,"H.A.173","47"
"cool","12/3/2025","F","CTRL.WTH.152_P4_C",0.0189,"F1.CTRL.CTRL_P2_C","A.C.181","DONE",40,69,109,"DONE","1617","1617_1A and 1617_1B are the same 10 eggs, 1617_2A is a different set of 10","ambient",0.238231998,0.236825953,"",0.239070514,"A.C.181","152"
"ambient","12/3/2025","F","MEAN.WTH.111_P1_A",0.0151,"MEAN.WTH.160_P1_A","M.A.183","DONE",2,3,5,"DONE","9528","","mean",NA,NA,"5 eggs in this image",0.219,"M.A.183","111"
"ambient","12/3/2025","F","WARM.WTH.84_P6_A",0.027,"WARM.WTH.89_P6_A","W.A.184","DONE",0,261,261,"DONE","1538","","warm",NA,NA,"9 eggs in this image",0.213625406,"W.A.184","84"
"ambient","12/3/2025","F","HOT.WTH.22_P4_A",0.0394,"HOT.WTH.159_P1_A","H.A.185","DONE",0,13,13,"DONE","4624","","hot",NA,NA,"",0.203538993,"H.A.185","22"
"ambient","12/3/2025","F","WARM.WTH.74_P6_A",0.0174,"F1.COOL.WARM_P7_A","W.A.186","DONE",2,45,47,"DONE","7867","","warm",NA,NA,"",0.22083909,"W.A.186","74"
"ambient","12/3/2025","F","COOL.WTH.96_P1_A",0.0121,"COOL.WTH.17_P2_A","C.A.187","DONE",0,57,57,"DONE","4461","","cool",NA,NA,"",0.208319457,"C.A.187","96"
"ambient","12/3/2025","F","HOT.WTH.102_P3_A",0.029,"HOT.WTH.158_P4_A","H.A.188","DONE",0,186,186,"DONE","6617","1A,1B, 2A","hot",NA,NA,"",0.191256196,"H.A.188","102"
"ambient","12/3/2025","F","HOT.WTH.148_P3_A",0.0283,"HOT.WTH.103_P4_A","H.A.189","DONE",0,230,230,"DONE","7814","1A,1B, 2A","hot",0.190956648,0.174387725,"",0.195804686,"H.A.189","148"
"ambient","12/3/2025","F","WARM.WTH.102_P2_A",0.0151,"WARM.WTH.104_P5_A","W.A.190","DONE",0,18,18,"DONE","8004","","warm",NA,NA,"",0.189702614,"W.A.190","102"
"ambient","12/3/2025","F","WARM.WTH.164_P3_A",0.0231,"WARM.WTH.106_P5_A","W.A.191","DONE",5,54,59,"DONE","7800","1A,1B, 2A","warm",0.204825841,0.213359555,"1A had 10 eggs and 1B had 9 eggs, so cannot really use this one for repeatability.",0.211387534,"W.A.191","164"
"ambient","12/3/2025","F","WARM.WTH.92_P3_A",0.0387,"WARM.WTH.152_P6_A","W.A.192","DONE",0,44,44,"DONE","4007","","warm",NA,NA,"",0.219015657,"W.A.192","92"
"hot","12/3/2025","F","CTRL.WTH.92_P4_H",0.0293,"CTRL.WTH.74_P5_H","A.H.193","DONE",0,307,307,"DONE","7803","1A,1B, 2A","ambient",0.185291624,0.190587288,"",0.187400459,"A.H.193","92"
"hot","12/3/2025","F","CTRL.WTH.130_P6_H",0.0224,"F1.CTRL.CTRL_P4_H","A.H.195","DONE",4,110,114,"DONE","3285","1A,1B, 2A","ambient",0.19404217,0.202351027,"",0.200167272,"A.H.195","130"
"hot","12/3/2025","F","HOT.WTH.42_P2_H",0.0301,"HOT.WTH.70_P1_H","H.H.196","DONE",0,175,175,"DONE","6792","1A,1B, 2A","hot",0.218020625,0.213574264,"",0.219327409,"H.H.196","42"
"hot","12/3/2025","F","HOT.WTH.78_P4_H",0.0288,"HOT.WTH.1_P5_H","H.H.198","DONE",0,119,119,"DONE","8683","1A,1B, 2A","hot",0.199969819,0.194879135,"",0.195936768,"H.H.198","78"
"hot","12/3/2025","F","HOT.WTH.39_P1_H",0.0322,"HOT.WTH.29_P2_H","H.H.199","DONE",0,109,109,"DONE","9935","1A,1B, 2A","hot",0.204092769,0.209903894,"",0.201921084,"H.H.199","39"
"hot","12/3/2025","F","CTRL.WTH.123_P4_H",0.0186,"CTRL.WTH.98_P4_H","A.H.200","DONE",0,46,46,"DONE","6508","","ambient",NA,NA,"",0.205798157,"A.H.200","123"
"hot","12/3/2025","F","CTRL.WTH.114_P4_H",0.0243,"F4.CTRL.CTRL_P1_H","A.H.201","DONE",8,54,62,"DONE","5212","","ambient",NA,NA,"",0.176970393,"A.H.201","114"
"hot","12/3/2025","F","HOT.WTH.92_P5_H",0.0354,"HOT.WTH.103_P1_H","H.H.202","DONE",0,254,254,"DONE","8825","","hot",NA,NA,"",0.196976683,"H.H.202","92"
"mean","12/3/2025","F","WARM.WTH.170_P3_M",0.0157,"WARM.WTH.70_P1_M","W.M.203","DONE",3,31,34,"DONE","2705","","warm",NA,NA,"",0.20135804,"W.M.203","170"
"mean","12/3/2025","F","HOT.WTH.158_P6_M",0.0329,"HOT.WTH.153_P4_M","H.M.204","DONE",6,0,6,"DONE","8878","","hot",NA,NA,"this image has 6 eggs",0.190462043,"H.M.204","158"
"mean","12/3/2025","F","WARM.WTH.159_P5_M",0.0146,"WARM.WTH.89_P2_M","W.M.207","DONE",0,91,91,"DONE","9080","1A,1B, 2A","warm",0.196877998,0.190923685,"",0.189531918,"W.M.207","159"
"warm","12/3/2025","F","WARM.WTH.43_P7_W",0.0301,"WARM.WTH.89_P3_W","W.W.210","DONE",0,229,229,"DONE","1987","1A,1B, 2A","warm",0.187577187,0.186761937,"",0.189754199,"W.W.210","43"
"warm","12/3/2025","F","WARM.WTH.25_P6_W",0.0201,"WARM.WTH.88_P3_W","W.W.212","DONE",13,32,45,"DONE","9977","","warm",NA,NA,"",0.190474883,"W.W.212","25"
"warm","12/3/2025","F","CTRL.WTH.158_P1_W",0.0256,"CTRL.WTH.103_P1_W","A.W.211","DONE",0,184,184,"DONE","5806","1A,1B,2A","ambient",0.196789112,0.189920293,"",0.199250742,"A.W.211","158"
"warm","12/3/2025","F","WARM.WTH.13_P3_W",0.0338,"WARM.WTH.49_P3_W","W.W.214","DONE",0,7,7,"DONE","6587","","warm",NA,NA,"this image has 7 eggs",0.188502538,"W.W.214","13"
"warm","12/3/2025","F","CTRL.WTH.159_P3_W",0.0253,"F4.CTRL.CTRL_P7_W","A.W.215","DONE",32,224,256,"DONE","4808","1A,1B,2A","ambient",0.195668628,0.19427068,"",0.197865299,"A.W.215","159"
"warm","12/3/2025","F","HOT.WTH.33_P4_W",0.0367,"HOT.WTH.179_P2_W","H.W.218","DONE",0,230,230,"DONE","8425","1A,1B,2A","hot",0.21826115,0.209927996,"1A has 9 eggs, and 1B has 10 eggs, so can't really use for repeatability",0.208069562,"H.W.218","33"
"warm","12/5/2025","F","WARM.WTH.158_P1_W",0.0239,"WARM.WTH.153_P8_W","W.W.215","DONE",0,177,177,"DONE","3224","","warm",NA,NA,"",0.204,"W.W.215","158"
"warm","12/5/2025","F","MEAN.WTH.25_P1_W",0.0102,"F5.CTRL.MEAN_P2_W","M.W.218","DONE",1,0,1,"DONE","2164","","mean",NA,NA,"this image has 1 egg",0.227,"M.W.218","25"
"warm","12/5/2025","F","HOT.WTH.98_P5_W",0.0291,"HOT.WTH.106_P4_W","H.W.219","DONE",0,35,35,"DONE","7082","1A,1B,2A","hot",0.215940119,0.215999476,"",0.207403008,"H.W.219","98"
"warm","12/5/2025","F","CTRL.WTH.148_P6_W",0.0294,"CTRL.WTH.47_P1_W","A.W.220","DONE",10,220,230,"DONE","8633","1A,1B,2A","ambient",0.208025295,0.201696918,"",0.206923547,"A.W.220","148"
"warm","12/5/2025","F","HOT.WTH.114_P1_W",0.0351,"HOT.WTH.153_P5_W","H.W.221","DONE",2,68,70,"DONE","3212","1A,1B,2A","hot",0.226116383,0.203615847,"",0.212458513,"H.W.221","114"
"warm","12/5/2025","F","HOT.WTH.114_P7_W",0.0297,"HOT.WTH.155_P10_W","H.W.222","DONE",0,184,184,"DONE","2611","1A,1B,2A","hot",0.183804195,0.184670906,"",0.188992747,"H.W.222","114"
"warm","12/5/2025","F","HOT.WTH.25_P1_W",0.029,"HOT.WTH.43_P6_W","H.W.223","DONE",8,69,77,"DONE","4852","","hot",NA,NA,"",0.203470142,"H.W.223","25"
"warm","12/5/2025","F","WARM.WTH.98_P8_W",0.0112,"WARM.WTH.170_P11_W","W.W.224","DONE",1,9,10,"DONE","6564","","warm",NA,NA,"one egg in this image is really very small + shrivelled, likely biasing the mean",0.19011191,"W.W.224","98"
"warm","12/5/2025","F","CTRL.WTH.153_P1_W",0.0262,"CTRL.WTH.146_P3_W","A.W.228","DONE",0,95,95,"DONE","3469","","ambient",NA,NA,"",0.212497813,"A.W.228","153"
"warm","12/5/2025","F","WARM.WTH.170_P2_W",0.0149,"WARM.WTH.152_P1_W","W.W.229","DONE",0,60,60,"DONE","3111","","warm",NA,NA,"",0.18812694,"W.W.229","170"
"warm","12/5/2025","F","WARM.WTH.117_P4_W",0.0232,"WARM.WTH.38_P3_W","W.W.230","DONE",0,41,41,"DONE","7223","","warm",NA,NA,"",0.216792768,"W.W.230","117"
"cool","12/5/2025","F","HOT.WTH.16_P2_C",0.0362,"HOT.WTH.1_P3_C","H.C.231","DONE",9,182,191,"DONE","4034","1A,1B,2A","hot",0.203574494,0.217007656,"1B raw results not saved correctly",0.207580496,"H.C.231","16"
"cool","12/5/2025","F","CTRL.WTH.23_P2_C",0.0254,"CTRL.WTH.48_P5_C","A.C.232","DONE",4,19,23,"DONE","3338","","ambient",NA,NA,"",0.222820136,"A.C.232","23"
"hot","12/5/2025","F","HOT.WTH.148_P2_H",0.0301,"HOT.WTH.94_P2_H","H.H.235","DONE",0,256,256,"DONE","7908","","hot",NA,NA,"",0.194782419,"H.H.235","148"
"hot","12/5/2025","F","CTRL.WTH.13_P4_H",0.0314,"CTRL.WTH.155_P2_H","A.H.236","DONE",1,110,111,"DONE","2346","","ambient",NA,NA,"",0.198535038,"A.H.236","13"
"hot","12/5/2025","F","HOT.WTH.162_P2_H",0.0319,"HOT.WTH.158_P1_H","H.H.237","DONE",0,246,246,"DONE","7622","","hot",NA,NA,"",0.221528412,"H.H.237","162"
"hot","12/5/2025","F","MEAN.WTH.22_P1_H",0.0176,"MEAN.WTH.157_P1_H","M.H.238","DONE",0,106,106,"DONE","76221","","mean",NA,NA,"",0.193191156,"M.H.238","22"
"hot","12/5/2025","F","HOT.WTH.123_P1_H",0.0357,"HOT.WTH.53_P2_H","H.H.241","DONE",0,15,15,"DONE","6000","","hot",NA,NA,"",0.204905744,"H.H.241","123"
"mean","12/5/2025","F","HOT.WTH.138_P3_M",0.0298,"HOT.WTH.86_P6_M","H.M.243","DONE",0,23,23,"DONE","6406","","hot",NA,NA,"",0.20653158,"H.M.243","138"
"mean","12/5/2025","F","HOT.WTH.162_P8_M",0.0298,"HOT.WTH.22_P6_M","H.M.244","DONE",0,232,232,"DONE","6853","","hot",NA,NA,"",0.218031224,"H.M.244","162"
"mean","12/5/2025","F","MEAN.WTH.53_P3_M",0.0122,"MEAN.WTH.145_P2_M","M.M.247","DONE",0,10,10,"DONE","5387","","mean",NA,NA,"",0.201244441,"M.M.247","53"
"mean","12/5/2025","F","HOT.WTH.168_P6_M",0.0231,"HOT.WTH.89_P2_M","H.M.248","DONE",1,102,103,"DONE","6345","","hot",NA,NA,"",0.196637358,"H.M.248","168"
"mean","12/5/2025","F","WARM.WTH.26_P1_M",0.0276,"WARM.WTH.157_P4_M","W.M.251","74",3,41,44,"DONE","2834","","warm",NA,NA,"",0.184629994,"W.M.251","26"
"ambient","12/5/2025","F","WARM.WTH.130_P7_A",0.0298,"WARM.WTH.160_P4_A","W.A.252","DONE",1,89,90,"DONE","4110","1A,1B,2A","warm",0.213906725,0.219646626,"",0.20982857,"W.A.252","130"
"ambient","12/5/2025","F","HOT.WTH.84_P3_A",0.0405,"HOT.WTH.23_P3_A","H.A.253","DONE",1,173,174,"DONE","7308","1A,1B,2A","hot",0.214248584,0.225847319,"",0.222529923,"H.A.253","84"
"ambient","12/5/2025","F","CTRL.WTH.153_P2_A",0.0261,"CTRL.WTH.170_P1_A","A.A.254","DONE",90,0,90,"DONE","9928","","ambient",NA,NA,"",0.232157527,"A.A.254","153"
"mean","12/7/2025","F","CTRL.WTH.89_P3_M",0.0252,"CTRL.WTH.127_P2_M","A.M.255","DONE",2,6,8,"DONE","9274","","ambient",NA,NA,"",0.179626606,"A.M.255","89"
"mean","12/7/2025","F","HOT.WTH.98_P7_M",0.0332,"F3.CTRL.HOT_P9_M","H.M.256","DONE",0,16,16,"DONE","4467","","hot",NA,NA,"",0.209640684,"H.M.256","98"
"mean","12/7/2025","F","WARM.WTH.148_P5_M",0.0236,"WARM.MUN.1_P2_M","W.M.257","DONE",4,228,232,"DONE","8376","1A,1B,2A","warm",0.192925062,0.186265187,"",0.193760584,"W.M.257","148"
"mean","12/7/2025","F","MEAN.WTH.70_P1_M",0.0113,"MEAN.WTH.162_P5_M","M.M.258","DONE",0,60,60,"DONE","5171","1A,1B,2A","mean",0.184367255,0.187436945,"",0.186761363,"M.M.258","70"
"mean","12/7/2025","F","HOT.WTH.103_P6_M",0.0246,"HOT.WTH.155_P9_M","H.M.260","DONE",5,21,26,"DONE","8384","","hot",NA,NA,"",0.211805875,"H.M.260","103"
"mean","12/7/2025","F","WARM.WTH.103_P7_M",0.0275,"WARM.WTH.138_P6_M","W.M.261","DONE",39,0,39,"DONE","8089","","warm",NA,NA,"",0.220804277,"W.M.261","103"
"mean","12/7/2025","F","WARM.WTH.160_P7_M",0.0196,"F3.MEAN.WARM_P6_M","W.M.264","72",3,0,3,"DONE","7517","","warm",NA,NA,"",0.201326874,"W.M.264","160"
"mean","12/7/2025","F","HOT.WTH.102_P4_M",0.0352,"HOT.GLF.5_P5_M","H.M.267","DONE",25,36,61,"DONE","3162","1A,1B,2A","hot",0.202428918,0.190932269,"",0.204377236,"H.M.267","102"
"mean","12/7/2025","F","CTRL.WTH.70_P5_M",0.0255,"CTRL.WTH.138_P4_M","A.M.269","DONE",150,0,150,"DONE","26900","","ambient",NA,NA,"",0.188056127,"A.M.269","70"
"hot","12/7/2025","F","WARM.WTH.145_P4_H",0.0308,"WARM.WTH.96_P5_H","W.H.275","DONE",0,249,249,"DONE","8632","","warm",NA,NA,"",0.209711341,"W.H.275","145"
"cool","12/7/2025","F","CTRL.BLG.15_P10_C",0.0155,"CTRL.WTH.139_P8_C","A.C.276","DONE",8,0,8,"DONE","16811","","ambient",NA,NA,"only 8 eggs in this image",0.219314186,"A.C.276","15"
"cool","12/7/2025","F","HOT.WTH.94_P1_C",0.0315,"HOT.WTH.96_P9_C","H.C.277","DONE",0,263,263,"DONE","8081","1A,1B,2A","hot",0.195550024,0.200382471,"",0.191221254,"H.C.277","94"
"cool","12/7/2025","F","HOT.WTH.179_P5_C",0.0253,"HOT.WTH.159_P5_C","H.C.279","DONE",0,213,213,"DONE","2561","","hot",NA,NA,"",0.216675917,"H.C.279","179"
"cool","12/7/2025","F","WARM.WTH.98_P8_C",0.0176,"WARM.WTH.89_P9_C","W.C.280","DONE",80,28,108,"DONE","7540","","warm",NA,NA,"",0.194445058,"W.C.280","98"
"ambient","12/7/2025","F","WARM.WTH.103_P4_A",0.0338,"WARM.WTH.159_P3","W.A.284","DONE",0,22,22,"DONE","4813","","warm",NA,NA,"",0.202656969,"W.A.284","103"
"ambient","12/7/2025","F","HOT.WTH.155_P6_A",0.0224,"HOT.WTH.98_P2_A","H.A.286","DONE",0,201,201,"DONE","5051","","hot",NA,NA,"",0.216218657,"H.A.286","155"
"ambient","12/7/2025","F","WARM.WTH.121_P6_A",0.024,"WARM.WTH.168_P1_A","W.A.287","DONE",0,182,182,"DONE","9175","","warm",NA,NA,"",0.210616206,"W.A.287","121"
"ambient","12/7/2025","F","HOT.GLF.16_P5_A",0.0207,"HOT.WTH.111_P2_A","H.A.288","DONE",0,132,132,"DONE","6566","","hot",NA,NA,"",0.202905433,"H.A.288","16"
"ambient","12/7/2025","F","CTRL.GLF.5_P6_A",0.0265,"CTRL.WTH.154_P3_A","A.A.289","DONE",0,218,218,"DONE","2361","","ambient",NA,NA,"",0.224508935,"A.A.289","5"
"ambient","12/7/2025","F","WARM.WTH.148_P4_A",0.0299,"WARM.WTH.139_P5_A","W.A.290","DONE",3,230,233,"DONE","3153","","warm",NA,NA,"",0.214471361,"W.A.290","148"
"ambient","12/7/2025","F","WARM.WTH.70_P4_A",0.0177,"WARM.GLF.5_P2_A","W.A.293","DONE",0,100,100,"DONE","4958","","warm",NA,NA,"didn't save this image - oops",0.217336254,"W.A.293","70"
"ambient","12/7/2025","F","HOT.WTH.160_P3_A",0.028,"HOT.WTH.170_P1_A","H.A.295","DONE",0,53,53,"DONE","7154","","hot",NA,NA,"",0.204116719,"H.A.295","160"
"ambient","12/7/2025","F","CTRL.WTH.179_P2_A",0.0328,"CTRL.WTH.15_P4_A","A.A.297","DONE",8,119,127,"DONE","5720","","ambient",NA,NA,"",0.203380009,"A.A.297","179"
"warm","12/7/2025","F","WARM.WTH.154_P2_W",0.0138,"F7.COOL.WARM_P5_W","W.W.299","DONE",0,68,68,"DONE","1385","","warm",NA,NA,"",0.220059655,"W.W.299","154"
"warm","12/7/2025","F","HOT.WTH.148_P5_W",0.0149,"HOT.WTH.159_P2_W","H.W.301","DONE",5,245,250,"DONE","9332","","hot",NA,NA,"",0.208436659,"H.W.301","148"
"warm","12/7/2025","F","WARM.WTH.123_P5_W",0.0287,"WARM.WTH.102_P5_W","W.W.302","DONE",0,10,10,"DONE","1030","","warm",NA,NA,"",0.202812627,"W.W.302","123"
"warm","12/7/2025","F","MEAN.WTH.153_P1_W",0.0282,"MEAN.WTH.64_P2_W","M.W.300","DONE",1,71,72,"DONE","5189","","mean",NA,NA,"",0.216491225,"M.W.300","153"
"cool","12/9/2025","F","HOT.WTH.84_P4_C",0.0338,"HOT.WTH.139_P7_C","H.C.303","DONE",205,0,205,"DONE","4785","","hot",NA,NA,"",0.205959625,"H.C.303","84"
"cool","12/9/2025","F","HOT.WTH.161_P4_C",0.0269,"HOT.WTH.162_P7_C","H.C.304","DONE",18,0,18,"DONE","8587","","hot",NA,NA,"",0.196068462,"H.C.304","161"
"warm","12/9/2025","F","WARM.WTH.43_P3_W",0.0271,"WARM.WTH.47_P1_W","W.W.308","DONE",11,39,50,"DONE","9369","","warm",NA,NA,"",0.203549432,"W.W.308","43"
"warm","12/9/2025","F","HOT.WTH.22_P5_W",0.0295,"HOT.WTH.13_P2_W","H.W.310","DONE",0,64,64,"DONE","6531","","hot",NA,NA,"",0.195098975,"H.W.310","22"
"warm","12/9/2025","F","CTRL.WTH.64_P6_W",0.0338,"CTRL.WTH.162_P1_W","A.W.311","DONE",0,36,36,"DONE","5619","","ambient",NA,NA,"",0.195417789,"A.W.311","64"
"warm","12/9/2025","F","WARM.WTH.26_P3_W",0.0208,"WARM.WTH.118_P2_W","W.W.312","DONE",0,134,134,"DONE","6697","","warm",NA,NA,"",0.204768652,"W.W.312","26"
"warm","12/9/2025","F","HOT.WTH.64_P1_W",0.0264,"HOT.WTH.121_P8_W","H.W.313","70",9,130,139,"DONE","1203","","hot",NA,NA,"",0.214419169,"H.W.313","64"
"warm","12/9/2025","F","CTRL.WTH.94_P1_W",0.0287,"F4.CTRL.CTRL_P3_W","A.W.314","DONE",2,259,261,"DONE","4246","","ambient",NA,NA,"",0.189247362,"A.W.314","94"
"warm","12/9/2025","F","HOT.WTH.74_P8_W",0.0316,"HOT.WTH.117_P4_W","H.W.315","DONE",3,150,153,"DONE","3420","","hot",NA,NA,"",0.215360756,"H.W.315","74"
"warm","12/9/2025","F","WARM.WTH.111_P5_W",0.025,"WARM.WTH.155_P2_W","W.W.316","DONE",0,178,178,"DONE","9855","","warm",NA,NA,"",0.2159406,"W.W.316","111"
"warm","12/9/2025","F","WARM.WTH.104_P2_W",0.0279,"WARM.WTH.148_P3_W","W.W.317","DONE",2,204,206,"DONE","8631","","warm",NA,NA,"",0.215256692,"W.W.317","104"
"mean","12/9/2025","F","HOT.WTH.145_P6_M",0.028,"HOT.WTH.179_P4_M","H.M.318","DONE",9,210,219,"DONE","3431","","hot",NA,NA,"",0.209574045,"H.M.318","145"
"mean","12/9/2025","F","CTRL.WTH.167_P1_M ",0.0307,"CTRL.WTH.123_P2_M","A.M.321","DONE",27,246,273,"DONE","6241","","ambient",NA,NA,"",0.206147829,"A.M.321","167"
"ambient","12/9/2025","F","CTRL.WTH.102_P2_M ",0.033,"CTRL.WTH.121_P7_M","A.M.322","DONE",4,38,42,"DONE","62412","","ambient",NA,NA,"",0.198699802,"A.M.322","102"
"hot","12/9/2025","F","WARM.WTH.50_P5_H",0.0285,"WARM.WTH.33_P5_H","W.H.323","DONE",1,107,108,"DONE","8566","","warm",NA,NA,"",0.207503512,"W.H.323","50"
"hot","12/9/2025","F","WARM.WTH.22_P7_H",0.0322,"WARM.WTH.26_P5_H","W.H.325","DONE",0,41,41,"DONE","3362","","warm",NA,NA,"",0.191196294,"W.H.325","22"
"hot","12/9/2025","F","HOT.WTH.138_P1_H",0.03,"HOT.WTH.41_P8_H","H.H.326","DONE",2,28,30,"DONE","1258","","hot",NA,NA,"",0.210137176,"H.H.326","138"
"hot","12/9/2025","F","MEAN.WTH.23_P2_H",0.0221,"MEAN.WTH.103_P2","M.H.327","DONE",4,149,153,"DONE","6984","","mean",NA,NA,"",0.2126,"M.H.327","23"
"hot","12/9/2025","F","CTRL.WTH.43_P1_H",0.0385,"CTRL.WTH.160_P4_H","A.H.328","DONE",4,273,277,"DONE","6408","","ambient",NA,NA,"",0.213777901,"A.H.328","43"
"hot","12/9/2025","F","WARM.WTH.39_P1_H",0.0319,"WARM.WTH.43_P9_H","W.H.330","DONE",3,338,341,"DONE","8215","","warm",NA,NA,"",0.195325009,"W.H.330","39"
"hot","12/9/2025","F","CTRL.WTH.53_P3_H",0.0328,"CTRL.WTH.179_P4_H","A.H.331","DONE",1,196,197,"DONE","2324","","ambient",NA,NA,"",0.202766582,"A.H.331","53"
"mean","12/11/2025","F","CTRL.WTH.151_P4_M",0.0321,"CTRL.WTH.153_P5_M","A.M.335","DONE",2,92,94,"DONE","5105","","ambient",NA,NA,"",0.213037964,"A.M.335","151"
"mean","12/11/2025","F","HOT.GLF.16_P8_M",0.0239,"F7.COOL.HOT_P7_M","H.M.337","DONE",44,95,139,"DONE","5265","","hot",NA,NA,"",0.207587632,"H.M.337","16"
"mean","12/11/2025","F","HOT.WTH.106_P3_M",0.0352,"HOT.GLF.16_P2_M","H.M.339","DONE",0,195,195,"DONE","8515","","hot",NA,NA,"",0.206729147,"H.M.339","106"
"warm","12/11/2025","F","HOT.WTH.152_P1_W",0.0256,"HOT.WTH.89_P3_W","H.W.341","68",9,28,37,"DONE","3449","","hot",NA,NA,"",0.256931345,"H.W.341","152"
"cool","12/11/2025","F","HOT.WTH.164_P4_C",0.0245,"HOT.WTH.161_P1_C","H.C.346","DONE",88,0,88,"DONE","2232","","hot",NA,NA,"",0.191495891,"H.C.346","164"
"hot","12/11/2025","F","MEAN.MUN.1_P2_H",0.0153,"CTRL.BLG.15_P2_H","M.H.350","DONE",0,91,91,"DONE","5356","","mean",NA,NA,"",0.201930758,"M.H.350","1"
"hot","12/11/2025","F","HOT.WTH.168_P1_H",0.033,"HOT.WTH.22_P8_H","H.H.351","DONE",1,249,250,"DONE","3588","","hot",NA,NA,"",0.191843569,"H.H.351","168"
"hot","12/11/2025","F","WARM.WTH.158_P4_H",0.0219,"WARM.WTH.42_P1_H","W.H.352","DONE",0,92,92,"DONE","7469","","warm",NA,NA,"",0.189221672,"W.H.352","158"
"hot","12/11/2025","F","WARM.WTH.130_P4_H",0.0291,"WARM.WTH.117_P1_H","W.H.353","DONE",134,0,134,"DONE","6193","","warm",NA,NA,"",0.206661172,"W.H.353","130"
"hot","12/11/2025","F","WARM.WTH.164_P7_H",0.0153,"WARM.WTH.159_P4_H","W.H.354","DONE",2,31,33,"DONE","61931","","warm",NA,NA,"",0.209573028,"W.H.354","164"
"warm","12/12/2025","F","WARM.WTH.121_P5_W",0.0269,"WARM.WTH.159_P2_W","W.W.356","DONE",0,161,161,"DONE","2608","","warm",NA,NA,"",0.210931494,"W.W.356","121"
"warm","12/13/2025","F","WARM.WTH.22_P9_W",0.0257,"WARM.WTH.114_P8_W","W.W.358","DONE",2,174,176,"DONE","7006","","warm",NA,NA,"",0.195182793,"W.W.358","22"
"warm","12/13/2025","F","COOL.WTH.111_P1_W",0.0128,"COOL.WTH.104_P1_W","C.W.359","66",0,75,75,"DONE","6381","","cool",NA,NA,"",0.207696278,"C.W.359","111"
"warm","12/13/2025","F","WARM.WTH.150_P4_W",0.0139,"WARM.WTH.142_142_W","W.W.360","DONE",0,28,28,"DONE","2759","","warm",NA,NA,"",0.214510297,"W.W.360","150"
