"clutchID","eggID","code_name","size"
"A.M.35","*AM35.01*",149,NA
"A.M.36","*AM36.10*",272,NA
"A.M.36","*AM36.09*",994,NA
"A.M.36","*AM36.08*",798,NA
"A.M.36","*AM36.07*",824,NA
"A.M.36","*AM36.06*",843,NA
"A.M.36","*AM36.05*",510,NA
"A.M.36","*AM36.04*",104,NA
"A.M.36","*AM36.03*",194,NA
"A.M.36","*AM36.02*",144,NA
"A.M.36","*AM36.01*",823,NA
"A.M.37","*AM37.10*",924,NA
"A.M.37","*AM37.09*",984,NA
"A.M.37","*AM37.08*",424,NA
"A.M.37","*AM37.07*",190,NA
"A.M.37","*AM37.06*",665,NA
"A.M.37","*AM37.05*",724,NA
"A.M.37","*AM37.04*",293,NA
"A.M.37","*AM37.03*",326,NA
"A.M.37","*AM37.02*",387,NA
"A.M.37","*AM37.01*",468,NA
"A.M.395","*AM395.10*",528,NA
"A.M.395","*AM395.09*",453,NA
"A.M.395","*AM395.08*",432,NA
"A.M.395","*AM395.07*",143,NA
"A.M.395","*AM395.06*",806,NA
"A.M.395","*AM395.05*",255,NA
"A.M.395","*AM395.04*",361,NA
"A.M.395","*AM395.03*",319,NA
"A.M.395","*AM395.02*",251,NA
"A.M.395","*AM395.01*",184,NA
"C.A.22","*CA22.10*",166,NA
"C.A.22","*CA22.09*",156,NA
"C.A.22","*CA22.08*",658,NA
"C.A.22","*CA22.07*",122,NA
"C.A.22","*CA22.06*",903,NA
"C.A.22","*CA22.05*",133,NA
"C.A.22","*CA22.04*",690,NA
"C.A.22","*CA22.03*",596,NA
"C.A.22","*CA22.02*",837,NA
"C.A.22","*CA22.01*",532,NA
