female_ID,clutch_ID,clutch_code ,maternal_clutch,larval_temp,pupal_temp,female_mass ,fertile_eggs,infertile_eggs,total_eggs,egg_mean,
,,8734,,,,,,,,,
,,9010,,,,,,,,,
,,2955,,,,,,,,,
,,9171,,,,,,,,,
,,6357,,,,,,,,,
,,6883,,,,,,,,,
,,5092,,,,,,,,,
,,1984,,,,,,,,,
,,7182,,,,,,,,,
,,1985,,,,,,,,,
,,5232,,,,,,,,,
,,2583,,,,,,,,,
,,5684,,,,,,,,,
,,8863,,,,,,,,,
,,5775,,,,,,,,,
,,7643,,,,,,,,,
,,9912,,,,,,,,,
,,9535,,,,,,,,,
,,8477,,,,,,,,,
,,3506,,,,,,,,,
,,1194,,,,,,,,,
,,4123,,,,,,,,,
,,7677,,,,,,,,,
,,5649,,,,,,,,,
,,3131,,,,,,,,,
,,4463,,,,,,,,,
,,4948,,,,,,,,,
,,8756,,,,,,,,,
,,3757,,,,,,,,,
,,4832,,,,,,,,,
,,1711,,,,,,,,,
,,6369,,,,,,,,,
,,4500,,,,,,,,,
,,4068,,,,,,,,,
,,9719,,,,,,,,,
,,5054,,,,,,,,,
,,1472,,,,,,,,,
,,7097,,,,,,,,,
,,2148,,,,,,,,,
,,3036,,,,,,,,,
,,3312,,,,,,,,,
,,8740,,,,,,,,,
,,9649,,,,,,,,,
,,2077,,,,,,,,,
,,6014,,,,,,,,,
,,6657,,,,,,,,,
,,7378,,,,,,,,,
,,2312,,,,,,,,,
,,1184,,,,,,,,,
,,8932,,,,,,,,,
,,1412,,,,,,,,,
,,5722,,,,,,,,,
,,2332,,,,,,,,,
,,5874,,,,,,,,,
,,1563,,,,,,,,,
,,4798,,,,,,,,,
,,5255,,,,,,,,,
,,4580,,,,,,,,,
,,4128,,,,,,,,,
,,7600,,,,,,,,,
,,5712,,,,,,,,,
,,9548,,,,,,,,,
,,1278,,,,,,,,,
,,5365,,,,,,,,,
,,7789,,,,,,,,,
,,7490,,,,,,,,,
,,4200,,,,,,,,,
,,3265,,,,,,,,,
,,1617,,,,,,,,,
,,2904,,,,,,,,,
