pupa_id,date,notes,death_date,,,,,,,,,
HOT.WTH.117_P2,5/11/2025,dead_rm,,,,,,,,,,
HOT.WTH.121_P1,5/11/2025,,,,,,,,,,,
HOT.WTH.121_P2,5/11/2025,,,,,,,,,,,
HOT.WTH.121_P3,5/11/2025,,,,,,,,,,,
HOT.WTH.1_P2,5/11/2025,,,,,,,,,,,
HOT.WTH.1_P3,5/11/2025,,,,,,,,,,,
HOT.WTH.103_P1,5/11/2025,,,,,,,,,,,
HOT.WTH.103_P2,5/11/2025,,,,,,,,,,,
HOT.WTH.103_P3,5/11/2025,,,,,,,,,,,
HOT.WTH.42_P3,5/11/2025,,,,,,,,,,,
HOT.WTH.42_P4,5/11/2025,,,,,,,,,,,
CTRL.WTH.38_P2,5/11/2025,,,,,,,,,,,
CTRL.WTH.38_P3,5/11/2025,dead_end,,,,,,,,,,
CTRL.WTH.38_P4,5/11/2025,,,,,,,,,,,
HOT.WTH.86_P6,5/12/2025,,,,,,,,,,,
HOT.WTH.86_P7,5/12/2025,dead_end,,,,,,,,,,
HOT.WTH.86_P8,5/12/2025,,,,,,,,,,,
HOT.WTH.94_P1,5/12/2025,,,,,,,,,,,
HOT.WTH.94_P2,5/12/2025,,,,,,,,,,,
HOT.GLF.5_P7,5/12/2025,dead ,27/10/25,,,,,,,,,
F1.CTRL.HOT_P8,5/12/2025,,,,,,,,,,,
HOT.WTH.60_P5,5/12/2025,dead_rm,,,,,,,,,,
HOT.WTH.60_P6,5/12/2025,dead_end,,,,,,,,,,
HOT.WTH.60_P7,5/12/2025,,,,,,,,,,,
HOT.WTH.60_P8,5/12/2025,dead_end,,,,,,,,,,
HOT.WTH.43_P6,5/12/2025,,,,,,,,,,,
HOT.WTH.41_P4,5/12/2025,,,,,,,,,,,
HOT.WTH.41_P5,5/12/2025,,,,,,,,,,,
HOT.WTH.48_P1,5/12/2025,,,,,,,,,,,
F3.CTRL.HOT_P3,5/12/2025,dead ,11/3/2025,,,,,,,,,
F3.CTRL.HOT_P4,5/12/2025,,,,,,,,,,,
F3.CTRL.HOT_P5,5/12/2025,,,,,,,,,,,
F3.CTRL.HOT_P6,5/12/2025,dead,10/9/2025,,,,,,,,,
HOT.WTH.25_P6,5/12/2025,dead ,9/11/2025,,,,,,,,,
HOT.WTH.29_P2,5/12/2025,,,,,,,,,,,
HOT.WTH.29_P3,5/12/2025,,,,,,,,,,,
HOT.WTH.118_P1,5/12/2025,dead_end,,,,,,,,,,
HOT.WTH.117_P3,5/12/2025,,,,,,,,,,,
HOT.WTH.117_P3,5/12/2025,,,,,,,,,,,
HOT.WTH.16_P2,5/12/2025,,,,,,,,,,,
HOT.WTH.33_P1,5/12/2025,,,,,,,,,,,
HOT.WTH.15_P1,5/12/2025,,,,,,,,,,,
HOT.WTH.15_P2,5/12/2025,dead_rm_rm,,,,,,,,,,
HOT.WTH.15_P3,5/12/2025,,,,,,,,,,,
HOT.WTH.15_P4,5/12/2025,,,,,,,,,,,
HOT.WTH.15_P5,5/12/2025,dead_rm,,,,,,,,,,
HOT.WTH.148_P1,5/12/2025,,,,,,,,,,,
HOT.WTH.148_P2,5/12/2025,,,,,,,,,,,
HOT.WTH.88_P1,5/12/2025,,,,,,,,,,,
HOT.WTH.121_P4,5/12/2025,,,,,,,,,,,
HOT.WTH.130_P2,5/12/2025,,,,,,,,,,,
F4.COOL.HOT_P6,5/12/2025,,,,,,,,,,,
HOT.WTH.127_P1,5/12/2025,,,,,,,,,,,
HOT.WTH.127_P2,5/12/2025,,,,,,,,,,,
HOT.WTH.127_P3,5/12/2025,,,,,,,,,,,
HOT.WTH.127_P1,5/12/2025,,,,,,,,,,,
HOT.BLG.15_P1,5/12/2025,,,,,,,,,,,
HOT.WTH.114_P1,5/12/2025,,,,,,,,,,,
HOT.WTH.114_P2,5/12/2025,,,,,,,,,,,
HOT.WTH.13_P1,5/12/2025,,,,,,,,,,,
HOT.WTH.22_P7,5/12/2025,,,,,,,,,,,
HOT.WTH.22_P8,5/12/2025,,,,,,,,,,,
HOT.WTH.22_P9,5/12/2025,,,,,,,,,,,
HOT.WTH.89_P1,5/12/2025,,,,,,,,,,,
HOT.WTH.110_P1,5/12/2025,,,,,,,,,,,
HOT.WTH.26_P1,5/12/2025,dead,10/9/2025,,,,,,,,,
HOT.WTH.26_P2,5/12/2025,,,,,,,,,,,
HOT.WTH.26_P3,5/12/2025,,,,,,,,,,,
HOT.WTH.26_P4,5/12/2025,dead,11/5/2025,,,,,,,,,
HOT.WTH.26_P5,5/12/2025,,,,,,,,,,,
HOT.WTH.26_P6,5/12/2025,dead,27/10/25,,,,,,,,,
HOT.WTH.74_P7,5/12/2025,,,,,,,,,,,
HOT.WTH.74_P8,5/12/2025,,,,,,,,,,,
HOT.WTH.42_P5,5/12/2025,,,,,,,,,,,
HOT.WTH.39_P1,5/12/2025,,,,,,,,,,,
F1.WARM.HOT_P1,5/12/2025,,,,,,,,,,,
HOT.WTH.17_P5,5/12/2025,,,,,,,,,,,
HOT.WTH.17_P6,5/12/2025,,,,,,,,,,,
HOT.WTH.17_P7,5/12/2025,,,,,,,,,,,
CTRL.WTH.117_P1,5/12/2025,,,,,,,,,,,
CTRL.WTH.1_P1,5/12/2025,,,,,,,,,,,
CTRL.WTH.1_P2,5/12/2025,dead ,27/10/25,,,,,,,,,
CTRL.WTH.1_P3,5/12/2025,dead_end,,,,,,,,,,
CTRL.WTH.1_P4,5/12/2025,,,,,,,,,,,
CTRL.WTH.1_P5,5/12/2025,,,,,,,,,,,
CTRL.WTH.1_P6,5/12/2025,,,,,,,,,,,
CTRL.WTH.130_P1,5/12/2025,,,,,,,,,,,
CTRL.WTH.22_P1,5/12/2025,,,,,,,,,,,
CTRL.WTH.13_P1,5/12/2025,,,,,,,,,,,
CTRL.WTH.29_P1,5/12/2025,,,,,,,,,,,
CTRL.WTH.42_P1,5/12/2025,,,,,,,,,,,
CTRL.WTH.42_P2,5/12/2025,,,,,,,,,,,
F1.COOL.CTRL_P1,5/12/2025,,,,,,,,,,,
F1.COOL.CTRL_P2,5/12/2025,,,,,,,,,,,
CTRL.WTH.1_P7,5/13/2025,,,,,,,,,,,
CTRL.WTH.1_P8,5/13/2025,,,,,,,,,,,
CTRL.WTH.1_P9,5/13/2025,,,,,,,,,,,
CTRL.WTH.47_P1,5/13/2025,,,,,,,,,,,
CTRL.WTH.74_P1,5/13/2025,,,,,,,,,,,
CTRL.WTH.74_P2,5/13/2025,,,,,,,,,,,
CTRL.WTH.74_P3,5/13/2025,,,,,,,,,,,
CTRL.WTH.113_P1,5/13/2025,,,,,,,,,,,
CTRL.WTH.94_P1,5/13/2025,,,,,,,,,,,
HOT.WTH.37_P1,5/13/2025,,,,,,,,,,,
HOT.WTH.37_P2,5/13/2025,,,,,,,,,,,
HOT.WTH.37_P3,5/13/2025,,,,,,,,,,,
HOT.WTH.64_P7,5/13/2025,,,,,,,,,,,
F2.COOL.HOT_P1,5/13/2025,,,,,,,,,,,
HOT.WTH.16_P3,5/13/2025,dead_end,,,,,,,,,,
HOT.WTH.60_P10,5/13/2025,,,,,,,,,,,
HOT.WTH.60_P9,5/13/2025,,,,,,,,,,,
HOT.WTH.106_P4,5/13/2025,,,,,,,,,,,
HOT.WTH.106_P3,5/13/2025,,,,,,,,,,,
F6.MEAN.HOT_P1,5/13/2025,dead_end,,,,,,,,,,
HOT.WTH.155_P1,5/13/2025,,,,,,,,,,,
HOT.WTH.155_P2,5/13/2025,,,,,,,,,,,
CTRL.WTH.22_P2,5/13/2025,,,,,,,,,,,
CTRL.WTH.22_P3,5/13/2025,,,,,,,,,,,
CTRL.WTH.22_P4,5/13/2025,,,,,,,,,,,
CTRL.WTH.22_P5,5/13/2025,,,,,,,,,,,
HOT.WTH.114_P3,5/13/2025,,,,,,,,,,,
HOT.WTH.118_P2,5/13/2025,,,,,,,,,,,
HOT.WTH.47_P2,5/13/2025,,,,,,,,,,,
F5.CTRL.HOT_P2,5/13/2025,,,,,,,,,,,
F5.CTRL.HOT_P3,5/13/2025,,,,,,,,,,,
F5.CTRL.HOT_P4,5/13/2025,,,,,,,,,,,
F5.CTRL.HOT_P5,5/13/2025,dead,7/11/2025,,,,,,,,,
CTRL.WTH.44_P1,5/13/2025,,,,,,,,,,,
CTRL.WTH.44_P2,5/13/2025,,,,,,,,,,,
CTRL.WTH.44_P3,5/13/2025,,,,,,,,,,,
CTRL.WTH.44_P4,5/13/2025,,,,,,,,,,,
CTRL.WTH.44_P5,5/13/2025,,,,,,,,,,,
HOT.WTH.158_P1,5/13/2025,,,,,,,,,,,
HOT.WTH.158_P2,5/13/2025,,,,,,,,,,,
CTRL.WTH.146_P1,5/13/2025,,,,,,,,,,,
CTRL.WTH.42_P3,5/13/2025,,,,,,,,,,,
CTRL.WTH.42_P4,5/13/2025,,,,,,,,,,,
CTRL.WTH.29_P2,5/13/2025,,,,,,,,,,,
CTRL.WTH.29_P3,5/13/2025,,,,,,,,,,,
CTRL.WTH.29_P4,5/13/2025,,,,,,,,,,,
HOT.WTH.13_P2,5/13/2025,,,,,,,,,,,
CTRL.WTH.168_P1,5/13/2025,dead_rm_rm,,,,,,,,,,
HOT.WTH.26_P7,5/13/2025,,,,,,,,,,,
HOT.WTH.17_P8,5/13/2025,,,,,,,,,,,
CTRL.GLF.5_P3,5/13/2025,,,,,,,,,,,
CTRL.GLF.5_P4,5/13/2025,dead,11/5/2025,,,,,,,,,
CTRL.GLF.5_P5,5/13/2025,,,,,,,,,,,
CTRL.WTH.157_P1,5/13/2025,,,,,,,,,,,
CTRL.WTH.157_P2,5/13/2025,,,,,,,,,,,
CTRL.WTH.111_P1,5/13/2025,,,,,,,,,,,
CTRL.WTH.86_P1,5/13/2025,dead,11/3/2025,,,,,,,,,
CTRL.WTH.43_P1,5/13/2025,,,,,,,,,,,
F1.COOL.CTRL_P3,5/13/2025,,,,,,,,,,,
F1.COOL.CTRL_P4,5/13/2025,,,,,,,,,,,
F5.MEAN.CTRL_P1,5/13/2025,,,,,,,,,,,
HOT.WTH.41_P6,5/14/2025,,,,,,,,,,,
HOT.EDI.12_P1,5/14/2025,,,,,,,,,,,
F3.CTRL.HOT_P7,5/14/2025,dead,10/9/2025,,,,,,,,,
HOT.WTH.47_P3,5/14/2025,,,,,,,,,,,
HOT.WTH.47_P4,5/14/2025,,,,,,,,,,,
HOT.WTH.117_P4,5/14/2025,,,,,,,,,,,
F6.CTRL.HOT_P1,5/14/2025,,,,,,,,,,,
F5.CTRL.HOT_P6,5/14/2025,,,,,,,,,,,
F5.CTRL.HOT_P7,5/14/2025,,,,,,,,,,,
HOT.BLG.15_P2,5/14/2025,,,,,,,,,,,
HOT.WTH.138_P1,5/14/2025,,,,,,,,,,,
HOT.WTH.138_P2,5/14/2025,,,,,,,,,,,
HOT.WTH.114_P4,5/14/2025,,,,,,,,,,,
HOT.WTH.114_P5,5/14/2025,dead_end,,,,,,,,,,
HOT.WTH.114_P6,5/14/2025,,,,,,,,,,,
HOT.WTH.98_P1,5/14/2025,,,,,,,,,,,
HOT.WTH.98_P2,5/14/2025,,,,,,,,,,,
HOT.WTH.96_P6,5/14/2025,,,,,,,,,,,
HOT.WTH.162_P2,5/14/2025,,,,,,,,,,,
HOT.WTH.88_P2,5/14/2025,,,,,,,,,,,
HOT.WTH.92_P1,5/14/2025,,,,,,,,,,,
HOT.WTH.92_P2,5/14/2025,,,,,,,,,,,
HOT.WTH.92_P3,5/14/2025,,,,,,,,,,,
HOT.URD.1_P6,5/14/2025,,,,,,,,,,,
HOT.URD.1_P7,5/14/2025,,,,,,,,,,,
HOT.WTH.153_P1,5/14/2025,,,,,,,,,,,
HOT.WTH.152_P1,5/14/2025,,,,,,,,,,,
HOT.WTH.152_P2,5/14/2025,,,,,,,,,,,
HOT.WTH.155_P3,5/14/2025,,,,,,,,,,,
HOT.WTH.155_P4,5/14/2025,,,,,,,,,,,
HOT.WTH.155_P5,5/14/2025,,,,,,,,,,,
HOT.WTH.49_P1,5/14/2025,,,,,,,,,,,
HOT.WTH.53_P1,5/14/2025,dead_end,,,,,,,,,,
HOT.WTH.78_P1,5/14/2025,,,,,,,,,,,
HOT.WTH.78_P2,5/14/2025,,,,,,,,,,,
HOT.WTH.39_P2,5/14/2025,,,,,,,,,,,
HOT.WTH.110_P2,5/14/2025,,,,,,,,,,,
HOT.WTH.17_P9,5/14/2025,,,,,,,,,,,
HOT.WTH.13_P3,5/14/2025,,,,,,,,,,,
HOT.WTH.168_P1,5/14/2025,,,,,,,,,,,
HOT.WTH.179_P1,5/14/2025,,,,,,,,,,,
HOT.WTH.179_P2,5/14/2025,,,,,,,,,,,
CTRL.WTH.29_P5,5/14/2025,,,,,,,,,,,
CTRL.WTH.29_P6,5/14/2025,,,,,,,,,,,
CTRL.WTH.138_P1,5/14/2025,,,,,,,,,,,
CTRL.WTH.162_P1,5/14/2025,,,,,,,,,,,
CTRL.WTH.114_P1,5/14/2025,,,,,,,,,,,
CTRL.WTH.114_P2,5/14/2025,,,,,,,,,,,
CTRL.WTH.145_P1,5/14/2025,,,,,,,,,,,
CTRL.WTH.145_P2,5/14/2025,dead_end,,,,,,,,,,
CTRL.WTH.43_P1,5/14/2025,,,,,,,,,,,
CTRL.WTH.43_P2,5/14/2025,,,,,,,,,,,
CTRL.WTH.60_P1,5/14/2025,,,,,,,,,,,
CTRL.WTH.151_P1,5/14/2025,,,,,,,,,,,
CTRL.WTH.25_P1,5/14/2025,,,,,,,,,,,
CTRL.WTH.25_P2,5/14/2025,,,,,,,,,,,
CTRL.WTH.22_P6,5/14/2025,,,,,,,,,,,
CTRL.WTH.22_P7,5/14/2025,,,,,,,,,,,
CTRL.WTH.22_P8,5/14/2025,,,,,,,,,,,
CTRL.WTH.22_P9,5/14/2025,,,,,,,,,,,
CTRL.WTH.121_P1,5/14/2025,,,,,,,,,,,
CTRL.WTH.121_P2,5/14/2025,,,,,,,,,,,
CTRL.WTH.86_P2,5/14/2025,,,,,,,,,,,
CTRL.WTH.86_P3,5/14/2025,dead,11/3/2025,,,,,,,,,
CTRL.GLF.16_P1,5/14/2025,,,,,,,,,,,
CTRL.WTH.157_P3,5/14/2025,,,,,,,,,,,
CTRL.WTH.48_P1,5/14/2025,,,,,,,,,,,
CTRL.WTH.48_P2,5/14/2025,,,,,,,,,,,
CTRL.WTH.48_P3,5/14/2025,,,,,,,,,,,
CTRL.WTH.155_P1,5/14/2025,,,,,,,,,,,
CTRL.WTH.147_P2,5/14/2025,,,,,,,,,,,
CTRL.WTH.74_P4,5/14/2025,,,,,,,,,,,
CTRL.WTH.74_P5,5/14/2025,,,,,,,,,,,
CTRL.WTH.111_P2,5/14/2025,,,,,,,,,,,
CTRL.WTH.64_P5,5/14/2025,,,,,,,,,,,
CTRL.WTH.23_P1,5/14/2025,,,,,,,,,,,
CTRL.WTH.23_P2,5/14/2025,,,,,,,,,,,
CTRL.WTH.23_P3,5/14/2025,,,,,,,,,,,
CTRL.WTH.117_P2,5/14/2025,,,,,,,,,,,
CTRL.WTH.117_P3,5/14/2025,,,,,,,,,,,
CTRL.WTH.15_P1,5/14/2025,,,,,,,,,,,
CTRL.WTH.44_P6,5/14/2025,,,,,,,,,,,
CTRL.WTH.44_P7,5/14/2025,,,,,,,,,,,
CTRL.WTH.146_P3,5/14/2025,,,,,,,,,,,
F2.MEAN.CTRL_P2,5/14/2025,,,,,,,,,,,
F4.COOL.CTRL_P3,5/14/2025,,,,,,,,,,,
F4.CTRL.CTRL_P1,5/14/2025,,,,,,,,,,,
WARM.WTH.150_P1,5/14/2025,,,,,,,,,,,
F1.CTRL.WARM_P1,5/15/2025,dead ,15/11/25,,,,,,,,,
HOT.WTH.38_P2,5/15/2025,,,,,,,,,,,
F3.CTRL.HOT_P8,5/15/2025,,,,,,,,,,,
F3.CTRL.HOT_P9,5/15/2025,,,,,,,,,,,
F3.CTRL.HOT_P10,5/15/2025,,,,,,,,,,,
F3.CTRL.HOT_P11,5/15/2025,,,,,,,,,,,
HOT.WTH.158_P3,5/15/2025,,,,,,,,,,,
HOT.WTH.158_P4,5/15/2025,,,,,,,,,,,
F7.COOL.HOT_P1,5/15/2025,,,,,,,,,,,
F7.COOL.HOT_P2,5/15/2025,,,,,,,,,,,
HOT.WTH.48_P2,5/15/2025,,,,,,,,,,,
F1.HOT.HOT_P1,5/15/2025,,,,,,,,,,,
HOT.WTH.118_P3,5/15/2025,,,,,,,,,,,
HOT.WTH.41_P7,5/15/2025,,,,,,,,,,,
F2.COOL.HOT_P2,5/15/2025,,,,,,,,,,,
HOT.WTH.117_P5,5/15/2025,,,,,,,,,,,
HOT.WTH.29_P4,5/15/2025,,,,,,,,,,,
HOT.WTH.29_P5,5/15/2025,,,,,,,,,,,
HOT.WTH.153_P2,5/15/2025,,,,,,,,,,,
HOT.WTH.153_P3,5/15/2025,,,,,,,,,,,
HOT.WTH.153_P4,5/15/2025,,,,,,,,,,,
HOT.WTH.106_P5,5/15/2025,,,,,,,,,,,
HOT.WTH.106_P6,5/15/2025,,,,,,,,,,,
HOT.WTH.16_P4,5/15/2025,dead,11/3/2025,,,,,,,,,
HOT.WTH.16_P5,5/15/2025,,,,,,,,,,,
F2.HOT.HOT_P1,5/15/2025,,,,,,,,,,,
F2.HOT.HOT_P2,5/15/2025,dead_end,,,,,,,,,,
F2.HOT.HOT_P3,5/15/2025,,,,,,,,,,,
F2.HOT.HOT_P4,5/15/2025,,,,,,,,,,,
HOT.WTH.60_P11,5/15/2025,dead ,7/11/2025,,,,,,,,,
HOT.WTH.60_P12,5/15/2025,dead,16/10/25,,,,,,,,,
HOT.WTH.60_P13,5/15/2025,,,,,,,,,,,
HOT.WTH.145_P1,5/15/2025,,,,,,,,,,,
HOT.WTH.145_P2,5/15/2025,dead ,3/11/2025,,,,,,,,,
HOT.WTH.145_P3,5/15/2025,,,,,,,,,,,
HOT.WTH.145_P4,5/15/2025,,,,,,,,,,,
HOT.WTH.154_P1,5/15/2025,,,,,,,,,,,
HOT.WTH.154_P2,5/15/2025,,,,,,,,,,,
HOT.WTH.154_P3,5/15/2025,,,,,,,,,,,
HOT.WTH.70_P1,5/15/2025,,,,,,,,,,,
HOT.WTH.49_P2,5/15/2025,dead ,17/11/25,,,,,,,,,
HOT.WTH.49_P3,5/15/2025,,,,,,,,,,,
HOT.WTH.49_P4,5/15/2025,,,,,,,,,,,
HOT.WTH.49_P5,5/15/2025,,,,,,,,,,,
HOT.WTH.49_P6,5/15/2025,,,,,,,,,,,
HOT.WTH.92_P4,5/15/2025,dead,10/9/2025,,,,,,,,,
HOT.BLG.15_P2,5/15/2025,,,,,,,,,,,
HOT.BLG.15_P3,5/15/2025,,,,,,,,,,,
HOT.BLG.15_P4,5/15/2025,,,,,,,,,,,
HOT.BLG.15_P5,5/15/2025,,,,,,,,,,,
HOT.BLG.15_P6,5/15/2025,,,,,,,,,,,
F4.CTRL.HOT_P3,5/15/2025,,,,,,,,,,,
F4.CTRL.HOT_P4,5/15/2025,dead ,27/10/25,,,,,,,,,
HOT.WTH.102_P1,5/15/2025,,,,,,,,,,,
HOT.WTH.102_P2,5/15/2025,,,,,,,,,,,
HOT.WTH.64_P7,5/15/2025,,,,,,,,,,,
HOT.WTH.162_P3,5/15/2025,,,,,,,,,,,
HOT.WTH.162_P4,5/15/2025,,,,,,,,,,,
HOT.WTH.162_P5,5/15/2025,,,,,,,,,,,
HOT.WTH.96_P7,5/15/2025,,,,,,,,,,,
HOT.WTH.98_P3,5/15/2025,dead ,27/10/25,,,,,,,,,
HOT.WTH.98_P4,5/15/2025,,,,,,,,,,,
