"subclutch.id","site","femaleid","max.hatch","egg.number","tree.id","mat.collection.date","mat.coll.day","treehday","ndvi_halfdate","halfdate","halfslope","treatment"
"CTRL.WTH.94","WTH","WTH.94",9,8,"T6",2024-12-06,341,100.765420311927,62.22622623,99.5355355355355,0.0496506116728949,"Ambient"
"CTRL.WTH.96","WTH","WTH.96",NA,15,"T9",2024-12-06,341,100.244090206684,62.97497497,98.7297297297297,0.0548639601531193,"Ambient"
"CTRL.WTH.98","WTH","WTH.98",10,15,"20708",2024-12-06,341,NA,NA,104.724724724725,0.0962163375527311,"Ambient"
"HOT.ART.3","ART","ART.3",3,4,"ART119",2024-12-04,339,NA,NA,108.266266266266,0.0371074541812374,"Hot"
"HOT.BLG.15","BLG","BLG.15",NA,15,"BLG87",2024-12-11,346,NA,NA,94.960960960961,0.0629993556765544,"Hot"
"HOT.EDI.12","EDI","EDI.12",1,1,"EDI133",2024-12-07,342,NA,NA,NA,NA,"Hot"
"HOT.GLF.16","GLF","GLF.16",11,15,"GLF44",2024-12-11,346,NA,NA,113.181181181181,0.0626644014398553,"Hot"
"HOT.GLF.5","GLF","GLF.5",NA,15,"GLF6",2024-12-05,340,NA,NA,81.1351351351351,0.0739560211527512,"Hot"
"HOT.MUN.1","MUN","MUN.1",5,15,"MUN122",2024-12-04,339,NA,NA,94.4744744744745,0.0414965137726701,"Hot"
"HOT.URD.1","URD","URD.1",NA,15,"URD",2024-12-27,362,NA,NA,87.6306306306306,0.0842415940979331,"Hot"
"HOT.URD.2","URD","URD.2",3,2,"URD",2024-12-27,362,NA,NA,106.646646646647,0.0458781770796899,"Hot"
"HOT.WTH.1","WTH","WTH.1",NA,15,"T19",2024-11-15,320,102.751112558722,65.08508509,83.1921921921922,0.0671295101532436,"Hot"
"HOT.WTH.102","WTH","WTH.102",9,14,"14128",2024-12-06,341,NA,NA,101.137137137137,0.0618380013231271,"Hot"
"HOT.WTH.103","WTH","WTH.103",NA,15,"14128",2024-12-06,341,NA,NA,88.3873873873874,0.0410905386627889,"Hot"
"HOT.WTH.104","WTH","WTH.104",7,8,"14128",2024-12-06,341,NA,NA,98.958958958959,0.0554915460504378,"Hot"
"HOT.WTH.106","WTH","WTH.106",NA,15,"14128",2024-12-06,341,NA,NA,95.7087087087087,0.0302279445727431,"Hot"
"HOT.WTH.110","WTH","WTH.110",12,15,"T11",2024-12-06,341,98.6583576948369,60.96296296,97.037037037037,0.0439848791687263,"Hot"
"HOT.WTH.111","WTH","WTH.111",5,7,"T14",2024-12-06,341,98.3931460949248,62.74074074,97.8698698698699,0.0626314469843975,"Hot"
"HOT.WTH.113","WTH","WTH.113",3,10,"T14",2024-12-06,341,98.3931460949248,62.74074074,93.1171171171171,0.0571051400596076,"Hot"
"HOT.WTH.114","WTH","WTH.114",NA,15,"T14",2024-12-06,341,98.3931460949248,62.74074074,93.961961961962,0.0450553923765669,"Hot"
"HOT.WTH.117","WTH","WTH.117",13,15,"T14",2024-12-06,341,98.3931460949248,62.74074074,89.7747747747748,0.0567117987170593,"Hot"
"HOT.WTH.118","WTH","WTH.118",NA,15,"T14",2024-12-06,341,98.3931460949248,62.74074074,91.9189189189189,0.0409551288218177,"Hot"
"HOT.WTH.12","WTH","WTH.12",5,5,"17321",2024-11-25,330,NA,NA,90.027027027027,0.0484119192748332,"Hot"
"HOT.WTH.121","WTH","WTH.121",NA,15,"T14",2024-12-06,341,98.3931460949248,62.74074074,93.001001001001,0.041192158356977,"Hot"
"HOT.WTH.123","WTH","WTH.123",11,15,"T13",2024-12-06,341,98.2351958749806,60.66666667,100.24024024024,0.0835327871340517,"Hot"
"HOT.WTH.127","WTH","WTH.127",6,6,"T12",2024-12-06,341,94.3318303824841,58.81481481,89.7747747747748,0.0568707543833958,"Hot"
"HOT.WTH.13","WTH","WTH.13",6,15,"17321",2024-11-25,330,NA,NA,91.4634634634635,0.029799671980783,"Hot"
"HOT.WTH.130","WTH","WTH.130",11,15,"T20",2024-12-06,341,104.037295159926,66.76676677,90.3103103103103,0.0392451925797085,"Hot"
"HOT.WTH.138","WTH","WTH.138",10,15,"T13",2024-12-09,344,98.2351958749806,60.66666667,100.688688688689,0.0418834528825408,"Hot"
"HOT.WTH.139","WTH","WTH.139",11,15,"T13",2024-12-09,344,98.2351958749806,60.66666667,100.306306306306,0.046515445832383,"Hot"
"HOT.WTH.14","WTH","WTH.14",3,6,"T11",2024-11-25,330,98.6583576948369,60.96296296,99.2792792792793,0.0316068826870181,"Hot"
"HOT.WTH.142","WTH","WTH.142",6,7,"T11",2024-12-09,344,98.6583576948369,60.96296296,103.318318318318,0.0406436463953753,"Hot"
"HOT.WTH.145","WTH","WTH.145",NA,15,"T3",2024-12-11,346,100.531026342095,62.64664665,91.7197197197197,0.0920169739780883,"Hot"
"HOT.WTH.146","WTH","WTH.146",8,15,"T8",2024-12-11,346,96.7072963464517,60.63663664,93.1851851851852,0.0482507393426088,"Hot"
"HOT.WTH.148","WTH","WTH.148",NA,15,"T14",2024-12-11,346,98.3931460949248,62.74074074,89.3963963963964,0.0932167573532691,"Hot"
"HOT.WTH.15","WTH","WTH.15",12,15,"14128",2024-11-25,330,NA,NA,90.1181181181181,0.0480241840985006,"Hot"
